time,crd,vel,ekin,ene_0,ene_1,epot,etotal,coff_0,coff_1,prob,random,state
163.000,-2.63650097,0.01449998,0.21024929,-2.00002425,2.00002425,-2.00002425,-1.78977497,1.00000000,0.00000000,0.00000000,0.87953134,0
164.000,-2.62200100,0.01449997,0.21024927,-2.00002423,2.00002423,-2.00002423,-1.78977497,1.00000000,0.00000000,0.00000000,0.86301868,0
165.000,-2.60750102,0.01449997,0.21024925,-2.00002422,2.00002422,-2.00002422,-1.78977497,1.00000000,0.00000000,0.00000000,0.23456966,0
166.000,-2.59300105,0.01449997,0.21024923,-2.00002420,2.00002420,-2.00002420,-1.78977496,1.00000000,0.00000000,0.00000000,0.97950521,0
167.000,-2.57850107,0.01449997,0.21024922,-2.00002418,2.00002418,-2.00002418,-1.78977496,1.00000000,0.00000000,0.00000000,0.37081551,0
168.000,-2.56400110,0.01449997,0.21024920,-2.00002416,2.00002416,-2.00002416,-1.78977496,1.00000000,0.00000000,0.00000000,0.02001246,0
169.000,-2.54950113,0.01449997,0.21024918,-2.00002414,2.00002414,-2.00002414,-1.78977496,1.00000000,0.00000000,0.00000000,0.61712049,0
170.000,-2.53500116,0.01449997,0.21024916,-2.00002412,2.00002412,-2.00002412,-1.78977496,1.00000000,0.00000000,0.00000000,0.15157876,0
171.000,-2.52050119,0.01449997,0.21024914,-2.00002410,2.00002410,-2.00002410,-1.78977496,1.00000000,0.00000000,0.00000000,0.71440693,0
172.000,-2.50600122,0.01449997,0.21024912,-2.00002408,2.00002408,-2.00002408,-1.78977496,1.00000000,0.00000000,0.00000000,0.44989803,0
173.000,-2.49150125,0.01449997,0.21024910,-2.00002406,2.00002406,-2.00002406,-1.78977496,1.00000000,0.00000000,0.00000000,0.90270744,0
174.000,-2.47700128,0.01449997,0.21024908,-2.00002404,2.00002404,-2.00002404,-1.78977496,1.00000000,0.00000000,0.00000000,0.87128048,0
175.000,-2.46250131,0.01449997,0.21024905,-2.00002401,2.00002401,-2.00002401,-1.78977496,1.00000000,0.00000000,0.00000000,0.90799889,0
176.000,-2.44800135,0.01449997,0.21024903,-2.00002399,2.00002399,-2.00002399,-1.78977496,1.00000000,0.00000000,0.00000000,0.44333226,0
177.000,-2.43350138,0.01449997,0.21024901,-2.00002397,2.00002397,-2.00002397,-1.78977496,1.00000000,0.00000000,0.00000000,0.50377371,0
178.000,-2.41900141,0.01449997,0.21024899,-2.00002394,2.00002394,-2.00002394,-1.78977496,1.00000000,0.00000000,0.00000000,0.79293896,0
179.000,-2.40450145,0.01449996,0.21024896,-2.00002392,2.00002392,-2.00002392,-1.78977496,1.00000000,0.00000000,0.00000000,0.35667828,0
